,Length,Width,Max Height
A1,66,240,100
A2,66,240,100
A3,66,240,100
A4,66,240,100
A5,66,240,100
A6,66,240,100
A7,66,240,100
A8,66,240,100
A9,66,240,100
A10,66,240,100
A11,66,240,100
B1,66,192,100
B2,66,192,100
B3,66,192,100
B4,66,192,100
B5,66,192,100
B6,66,192,100
B7,66,192,100
B8,66,192,100
B9,66,192,100
B10,66,192,100
B11,66,192,100
C1,66,144,100
C2,66,144,100
C3,66,144,100
C4,66,144,100
C5,66,144,100
C6,66,144,100
C7,66,144,100
C8,66,144,100
C9,66,144,100
C10,66,144,100
C11,66,144,100
D1,66,192,100
D2,66,192,100
D3,66,192,100
D4,66,192,100
D5,66,192,100
D6,66,192,100
D7,66,192,100
D8,66,192,100
D9,66,192,100
D10,66,192,100
D11,66,192,100
E1,66,144,100
E2,66,144,100
E3,66,144,100
E4,66,144,100
E5,66,144,100
E6,66,144,100
E7,66,144,100
E8,66,144,100
E9,66,144,100
E10,66,144,100
E11,66,144,100
F1,66,144,100
F2,66,144,100
F3,66,144,100
F4,66,144,100
F5,66,144,100
F6,66,144,100
F7,66,144,100
F8,66,144,100
F9,66,144,100
F10,66,144,100
F11,66,144,100
G1,66,144,100
G2,66,144,100
G3,66,144,100
G4,66,144,100
G5,66,144,100
G6,66,144,100
G7,66,144,100
G8,66,144,100
G9,66,144,100
G10,66,144,100
G11,66,144,100
H1,66,96,100
H2,66,96,100
H3,66,96,100
H4,66,96,100
H5,66,96,100
H6,66,96,100
H7,66,96,100
H8,66,96,100
H9,66,96,100
H10,66,96,100
H11,66,96,100
I1,66,96,100
I2,66,96,100
I3,66,96,100
I4,66,96,100
I5,66,96,100
I6,66,96,100
I7,66,96,100
I8,66,96,100
I9,66,96,100
I10,66,96,100
I11,66,96,100
J1,66,120,100
J2,66,120,100
J3,66,120,100
J4,66,120,100
J5,66,120,100
J6,66,120,100
J7,66,120,100
J8,66,120,100
J9,66,120,100
J10,66,120,100
J11,66,120,100
K1,66,144,100
K2,66,144,100
K3,66,144,100
K4,66,144,100
K5,66,144,100
K6,66,144,100
K7,66,144,100
K8,66,144,100
K9,66,144,100
K10,66,144,100
K11,66,144,100
L1,66,144,100
L2,66,144,100
L3,66,144,100
L4,66,144,100
L5,66,144,100
L6,66,144,100
L7,66,144,100
L8,66,144,100
L9,66,144,100
L10,66,144,100
L11,66,144,100
M1,66,120,100
M2,66,120,100
M3,66,120,100
M4,66,120,100
M5,66,120,100
M6,66,120,100
M7,66,120,100
M8,66,120,100
M9,66,120,100
M10,66,120,100
M11,66,120,100
